/en/condensed-category/ambulance-services,"Ambulance Services ",21,67302,"Al Alfiya Dental Centers"," 5 Abbas El Akkad St.El Dar El Baydaa Bldg., floor 7, 1st Zone, Nasr city, Cairo. ",," 02 24047341",02-2404-7351<br>0122-1041-977<br>02-2404-0676,,"https://maps.google.com/maps/?q=30.067266000,31.336285000"
/en/condensed-category/ambulance-services,"Ambulance Services ",21,69834,Ambulance," 37 26th Of July St., Downtown, Cairo. ",," 02 25770015",02-2577-0123<br>02-2577-0230<br>02-2577-0365,,"https://maps.google.com/maps/?q=30.053756,31.238399999999999"
/en/condensed-category/ambulance-services,"Ambulance Services ",21,298746,Ambulance," el qanater el khaireya rd., El qanatir el khayriyah, Kaliobeya. ",," 02 42084852",,,
/en/condensed-category/ambulance-services,"Ambulance Services ",21,223687,"Aswan Aid Facility"," ., El sail gharb, Aswan. ",," 097 2444016",,,"https://maps.google.com/maps/?q=24.089116000000001,32.908645"
/en/condensed-category/ambulance-services,"Ambulance Services ",21,241952,"Life Boat"," , El Minaa El Seyahy, Sekala, Hurghada. ",," 0122 2351313",,,
/en/condensed-category/ambulance-services,"Ambulance Services ",21,241939,"Search & Rescue"," , Sharm El Minaa, Sharm el mayah, Sharm el sheikh. ",," 0122 3134158",069-3665-141,http://www.redseasar.org/,"https://maps.google.com/maps/?q=27.858332999999998,34.280627000000003"
/en/condensed-category/american-cuisine,"American Cuisine ",151,563778,"Adam Cafe"," 89 Sudan St. Intersection Of Gamaet El Dewal El Arabeya St., Mohandeseen, Giza. ",," 0109 1212131",0111-7336-362<br>0112-0145-145<br>0115-5005-520,,"https://maps.google.com/maps/?q=30.043292000000001,31.193801000000001"
/en/condensed-category/american-cuisine,"American Cuisine ",151,574683,"Adam's Restaurant & Cafe"," Said St. Intersection Of Botros St., El Nour Plaza Tower, Floor 2, Tanta, El gharbeya. ",," 0101 0410107",040-3306-776,,"https://maps.google.com/maps/?q=30.793230000000001,31.001594000000001"
/en/condensed-category/american-cuisine,"American Cuisine ",151,526047,"Albero D'ojo Cafe & Restaurant"," 49 Fouad St., Raml station, Alexandria. ",," 0127 7382937",03-3937-535,,"https://maps.google.com/maps/?q=31.197467,29.905134"
/en/condensed-category/american-cuisine,"American Cuisine ",151,461979,"AM Kitchen"," 118 El Aziz Othman St. Off 26th Of July St., Zamalek, Cairo. ",," 0109 4001835",,,"https://maps.google.com/maps/?q=30.060155999999999,31.221439"
/en/condensed-category/american-cuisine,"American Cuisine ",151,567892,"Avanty Italian Food"," 1 El Leith Ibn Saad St. Off Ismail El Mazny St., Hegaz Square, Heliopolis, Cairo. ",," 0106 2110038",0112-9057-887,,"https://maps.google.com/maps/?q=30.112293999999999,31.354288"
/en/condensed-category/american-cuisine,"American Cuisine ",151,584229,"Bandidos Cafe & Restaurant"," Rd. 12, 5th District, 2nd Zone, 5th Compound, New cairo, Cairo. ",," 0100 5120074",02-2561-2931,,"https://maps.google.com/maps/?q=29.999587999999999,31.419673"
/en/condensed-category/american-cuisine,"American Cuisine ",151,256248,"Beach Club Restaurant"," El Fanar St., Umm el sid hill, Sharm el sheikh. ",," 069 3666200",069-3666-203<br>069-3666-204<br>069-3666-201,http://www.redseahotels.com/index.php?id=292,"https://maps.google.com/maps/?q=27.872389699999999,34.319572399999998"
/en/condensed-category/american-cuisine,"American Cuisine ",151,448137,"Benito Yard Restaurant"," 120 El Merghany St., Heliopolis, Cairo. ",," 0122 1888496",,,"https://maps.google.com/maps/?q=30.088073000000001,31.335913999999999"
/en/condensed-category/american-cuisine,"American Cuisine ",151,621225,"Bison Restaurant"," 1 El Nasr Towers, Assyout, Assyout. ",," 0100 8381346",,,
/en/condensed-category/american-cuisine,"American Cuisine ",151,386392,"Blaze Resto"," 49 El Nozha St., Almaza, Heliopolis, Cairo. ",," 0101 1999220",0102-3331-624<br>02-2415-6628,http://www.blazeresto.com/,"https://maps.google.com/maps/?q=30.085836,31.341214999999998"
/en/condensed-category/american-cuisine,"American Cuisine ",151,584264,"Boom Burger"," 25 Moheb St., Off El Helw St., Tanta, El gharbeya. ",," 040 3280166",0155-3773-626,http://boomburgertanta.business.site/,"https://maps.google.com/maps/?q=30.797129,31.004705"
/en/condensed-category/american-cuisine,"American Cuisine ",151,551880,"Bricks Burgers & More"," , Beverly Hills, Services Zone, 6th of october, Giza. ",," 0109 4666808",0100-0066-166,,"https://maps.google.com/maps/?q=30.061211,30.958786"
/en/condensed-category/american-cuisine,"American Cuisine ",151,612988,"Bronx Burger"," 52 Iskandar Ibrahim St., Miami, Alexandria. ",," 03 5532248",,,"https://maps.google.com/maps/?q=31.266469000000001,29.996846000000001"
/en/condensed-category/american-cuisine,"American Cuisine ",151,514617,Buckets," 1 B Dr. Ibrahim Abdel Sayed St. Extension Of El Batalisa St., Latin District, Bab shark, Alexandria. ",," 0120 0212323",03-3922-202,,"https://maps.google.com/maps/?q=31.197576000000002,29.911249999999999"
/en/condensed-category/american-cuisine,"American Cuisine ",151,521004,"Buffle Up"," 4th Plot, Block 9, Spine 77, Off El Tesaeen St., 5th Compound, New cairo, Cairo. ",," 0114 4337773",0128-8303-833<br>0128-8303-866,,"https://maps.google.com/maps/?q=30.009160000000001,31.432751"
/en/condensed-category/american-cuisine,"American Cuisine ",151,544548,Burdogs," Rd. 232 Off Rd. 233, Degla, Maadi, Cairo. ",," 0100 2202649",0100-2202-648,,"https://maps.google.com/maps/?q=29.958987,31.277988000000001"
/en/condensed-category/american-cuisine,"American Cuisine ",151,67420,Cactus," Km 42, Cairo Ismaileya Desert Rd., 10th of ramadan, El sharkeya. ",," 055 4400051",055-4400-053<br>055-4400-054<br>055-4400-052,,
/en/condensed-category/american-cuisine,"American Cuisine ",151,228746,"Cactus Sports Bar"," Ring Rd. Intersection Of Cairo Suez Rd., Mirage City, 1st Compound, New cairo, Cairo. ",," 02 24112266",,http://www.marriott.com/hotels/hotel-information/restaurant/caijw-jw-marriott-hotel-cairo/,"https://maps.google.com/maps/?q=30.072648000000001,31.431097000000001"
/en/condensed-category/american-cuisine,"American Cuisine ",151,575040,"California Republic Egypt"," 8 El Marwa Bldgs., Nabil El Waqqad St., Ard El Golf, Heliopolis, Cairo. ",," 0106 6336711",02-2419-8606,,"https://maps.google.com/maps/?q=30.079896000000002,31.327801999999998"
